plant,55
resource,43
genetic,41
certiﬁcate,37
intellectual,25
ordinance,22
journal,21
world,21
vol,21
country,21
product,21
blackwell,20
publishing,20
ltd,20
system,19
switzerland,19
would,19
regime,18
case,18
variety,18
could,16
food,16
right,15
information,15
source,15
agriculture,14
may,14
production,14
specie,14
law,13
origin,13
procedure,13
animal,12
based,11
relating,11
authorization,11
agricultural,11
respect,10
party,10
providing,10
applicant,10
federal,10
legislation,10
sharing,9
measure,9
use,9
existence,9
also,9
national,9
must,9
patent,9
import,9
introduced,9
access,8
certiﬁcation,8
including,8
provision,8
internationally,8
order,8
approval,8
application,8
declaration,8
provider,8
user,7
particular,7
subject,7
knowledge,7
treaty,7
applicable,7
recognized,7
provided,7
swiss,7
provide,7
regulation,7
material,7
article,7
marketing,7
need,7
certiﬁcates,7
inspection,7
new,7
set,6
beneﬁts,6
state,6
checkpoint,6
traditional,6
take,6
organism,6
circulation,6
mean,6
within,6
legal,5
negotiation,5
equitable,5
arising,5
development,5
biological,5
diversity,5
sustainable,5
one,5
well,5
indigenous,5
local,5
permit,5
decision,5
place,5
rule,5
authority,5
introduction,5
established,5
environment,5
trade,5
therefore,5
absence,5
situ,5
framework,4
existing,4
fair,4
ensure,4
agreement,4
beneﬁt,4
associated,4
practice,4
administrative,4
grant,4
third-party,4
contained,4
garden,4
council,4
good,4
et,4
seq,4
however,4
etc,4
endangered,4
requirement,4
list,4
contain,4
multiplication,4
ex,4
report,4
already,4
available,4
scope,4
examination,4
point,4
currently,3
discussed,3
utilization,3
two,3
without,3
controlled,3
issue,3
developed,3
covered,3
organization,3
november,3
term,3
european,3
publication,3
indication,3
principle,3
exchange,3
standard,3
foreseen,3
genetically,3
given,3
connection,3
ofﬁce,3
wild,3
convention,3
situation,3
fertilizer,3
either,3
published,3
registration,3
obligation,3
obtain,3
complied,3
according,3
documentation,3
way,3
due,3
release,3
alternative,3
provenance,3
meeting,3
group,3
technical,3
expert,3
common,3
database,3
agreed,3
upon,3
pharmaceutical,3
identify,3
avoid,3
mentioned,3
necessary,3
ground,3
refused,3
granted,3
study,2
option,2
depending,2
objective,2
component,2
appropriate,2
possibly,2
identiﬁed,2
serve,2
level,2
beside,2
instrument,2
help,2
us,2
stipulates,2
involvement,2
ensuring,2
accessed,2
informed,2
invention,2
directly,2
includes,2
meaning,2
directive,2
data,2
bank,2
botanical,2
multilateral,2
deﬁned,2
institute,2
several,2
network,2
aim,2
efﬁcient,2
protect,2
health,2
being,2
account,2
clinical,2
trial,2
research,2
confederation,2
request,2
altered,2
public,2
modiﬁed,2
appeal,2
used,2
generally,2
june,2
presented,2
passport,2
required,2
border,2
basically,2
importation,2
microorganism,2
february,2
requires,2
transit,2
imported,2
document,2
commerce,2
seed,2
pesticide,2
permitted,2
department,2
economic,2
affair,2
field,2
besides,2
number,2
holder,2
transfer,2
promote,2
purpose,2
view,2
found,2
forestry,2
voluntary,2
basis,2
stage,2
examining,2
concept,2
pp,2
listed,2
competent,2
process,2
ofﬁces,2
containing,2
copy,2
unique,2
identiﬁer,2
whether,2
respected,2
newly,2
type,2
allow,2
control,2
understanding,2
misappropriation,2
misuse,2
make,2
easier,2
infringement,2
unjustiﬁed,2
allegation,2
biopiracy,2
content,2
suggested,2
conformity,2
issued,2
made,2
proof,2
taking,2
envisaged,2
contemplated,2
included,2
question,2
although,2
remedy,2
commercialization,2
violation,2
event,2
said,2
limited,2
fauna,2
flora,2
botanic,2
protocol,1
done,1
basic,1
examined,1
main,1
described,1
sovereign,1
potential,1
condition,1
accepted,1
structured,1
follows,1
first,1
relevant,1
general,1
resulting,1
negotiated,1
implement,1
embrace,1
innovation,1
commercial,1
exclusion,1
bonn,1
guideline,1
second,1
harmony,1
security,1
draft,1
legislative,1
policy,1
derivative,1
holding,1
issuance,1
evidence,1
recognize,1
afﬁrm,1
criterion,1
writing,1
