filename,title,journal,date,test,hrRat,ipRat,userRat,creatorRat
IJCP-1992_Native_Grave_Protection,The Native American Graves Protection and Repatriation Act: An Introduction,International Journal of Cultural Property,1992-06-15,0,0.4491131044705252,0.5508868955294749,0.1388888888888889,0.2638888888888889
JWIP-1999_Developments_Encryption_Export,Developments in Encryption Export Controls,Journal of World Intellectual Property,1999-06-15,0,0.17873529378047512,0.821264706219525,0.05609756097560976,0.1878048780487805
IJCP-2011_Archaeology_Autonomies_Bolivia,-,International Journal of Cultural Property,2011-12-12,0,0.9999256294978571,7.437050214287805e-05,0.03414634146341464,0.0943089430894309
IJCP-2016_Devil_In_Nationalism,-,International Journal of Cultural Property,2016-07-12,0,0.9771888959904514,0.022811104009548618,0.05380710659898477,0.08223350253807106
IJCP-1998_US_Legislation_Combatant,United States cultural property legislation: observation of a combatant,International Journal of Cultural Property,1998-11-04,1,0.9999998512484407,1.487515593259612e-07,0.05121951219512195,0.09268292682926829
IJCP-1993_US_Cultural_Disputes,-,International Journal of Cultural Property,1993-06-15,1,0.9989705769323061,0.001029423067693784,0.03178484107579462,0.05256723716381418
JIPL-2013_Artists_Ringtones_Tanzania,Re-balancing artists’ rights in cell phone ringtones? An analysis of Tanzanian copyright Alex B. Makulilo*,Journal of Intellectual Property Law,2013-05-29,0,9.159432654595527e-08,0.9999999084056734,0.3798449612403101,0.3953488372093023
JIPL-2007_Custom_Code,Copyright in custom code: Who owns commissioned software? T. J. McIntyre*,Journal of Intellectual Property Law,2007-06-20,0,0.003772696336112372,0.9962273036638876,0.34838709677419355,0.36774193548387096
IJCP-1995_Licit_Traffic_Ancient,A Licit International Traffic in Ancient Art: Let There Be Light!,International Journal of Cultural Property,1995-06-15,0,0.9999967640540142,3.235945985910204e-06,0.0273109243697479,0.04831932773109244
JWIP-2002_Electronic_Commerce_WTO,Trade in Electronic Commerce Services under the WTO,Journal of World Intellectual Property,2002-06-15,1,0.19396016117443599,0.8060398388255642,0.09462915601023018,0.052429667519181586
JWIP-2009_Pharmaceutical_Inventions_Brazil,Patenting Pharmaceutical Inventions on Second Medical Uses in Brazil,Journal of World Intellectual Property,2009-06-03,0,1.446768145067743e-08,0.9999999855323185,0.10517241379310345,0.1810344827586207
IJHS-2013_London_Olympic_Waterscape,London’s Olympic waterscape: capturing transition,International Journal of Heritage Studies,2013-02-22,1,0.9996794708254729,0.0003205291745271107,0.14054054054054055,0.062162162162162166
IJCP-1999_Heritage_Indian_Tribes,Human rights and the cultural heritage of Indian tribes in the United States,International Journal of Cultural Property,1999-11-02,0,0.847564795913678,0.15243520408632186,0.2182741116751269,0.2639593908629442
JWIP-2016_Critical_auDRP_UDRP,A Critical and Comparative Review of auDRP and UDRP Domain Name Decisions,Journal of World Intellectual Property,2016-12-21,0,0.3788260679048086,0.6211739320951913,0.08016877637130802,0.1111111111111111
