filename,title,journal,date,test,hrRat,ipRat,userRat,creatorRat
IJCP-1992_Native_Grave_Protection,The Native American Graves Protection and Repatriation Act: An Introduction,International Journal of Cultural Property,2007-05-09,0,-1.0,-1.0,-1.0,-1.0
JWIP-1999_Developments_Encryption_Export,Developments in Encryption Export Controls,Journal of World Intellectual Property,2005-10-13,0,-1.0,-1.0,-1.0,-1.0
IJCP-2011_Archaeology_Autonomies_Bolivia,-,International Journal of Cultural Property,2011-12-12,0,-1.0,-1.0,-1.0,-1.0
IJCP-2016_Devil_In_Nationalism,-,International Journal of Cultural Property,2016-07-12,0,-1.0,-1.0,-1.0,-1.0
IJCP-1998_US_Legislation_Combatant,United States cultural property legislation: observation of a combatant,International Journal of Cultural Property,1998-11-04,0,-1.0,-1.0,-1.0,-1.0
IJCP-1993_US_Cultural_Disputes,-,International Journal of Cultural Property,2007-05-09,0,-1.0,-1.0,-1.0,-1.0
JIPL-2013_Artists_Ringtones_Tanzania,Re-balancing artists’ rights in cell phone ringtones? An analysis of Tanzanian copyright Alex B. Makulilo*,Journal of Intellectual Property Law,2013-05-29,0,-1.0,-1.0,-1.0,-1.0
JIPL-2007_Custom_Code,Copyright in custom code: Who owns commissioned software? T. J. McIntyre*,Journal of Intellectual Property Law,2007-06-20,0,-1.0,-1.0,-1.0,-1.0
IJCP-1995_Licit_Traffic_Ancient,A Licit International Traffic in Ancient Art: Let There Be Light!,International Journal of Cultural Property,2007-05-09,0,-1.0,-1.0,-1.0,-1.0
JWIP-2002_Electronic_Commerce_WTO,Trade in Electronic Commerce Services under the WTO,Journal of World Intellectual Property,2005-10-13,0,-1.0,-1.0,-1.0,-1.0
JWIP-2009_Pharmaceutical_Inventions_Brazil,Patenting Pharmaceutical Inventions on Second Medical Uses in Brazil,Journal of World Intellectual Property,2009-06-03,0,-1.0,-1.0,-1.0,-1.0
IJHS-2013_London_Olympic_Waterscape,London’s Olympic waterscape: capturing transition,International Journal of Heritage Studies,2013-02-22,0,-1.0,-1.0,-1.0,-1.0
IJCP-1999_Heritage_Indian_Tribes,Human rights and the cultural heritage of Indian tribes in the United States,International Journal of Cultural Property,1999-11-02,0,-1.0,-1.0,-1.0,-1.0
JWIP-2016_Critical_auDRP_UDRP,A Critical and Comparative Review of auDRP and UDRP Domain Name Decisions,Journal of World Intellectual Property,2016-12-21,1,0.35802229417598647,0.6419777058240136,0.08016877637130802,0.1111111111111111
JWIP-2008_Interoperability_Antitrust_Microsoft,Interoperability and Other Issues at the IPAnti-trust Interface: The EU Microsoft Case,Journal of World Intellectual Property,2008-10-22,0,-1.0,-1.0,-1.0,-1.0
